95.40,5.63,99.73,42,1->4->2->0->3
96.09,4.76,99.81,1,2->1->4->0->3
90.49,11.82,99.82,2,2->4->1->3->0
97.62,2.97,99.79,3,3->4->1->0->2
97.89,2.57,99.74,4,0->3->1->4->2
98.63,1.71,99.88,5,4->0->1->2->3
