stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,99.95,99.95,99.95,0.0
1.0,0.0,92.53,92.53,92.53,0.0
1.0,1.0,99.95,99.95,99.95,0.0
2.0,0.0,99.57,99.57,99.57,0.0
2.0,1.0,94.09,94.09,93.98,0.0
2.0,2.0,99.8,99.8,99.8,0.0
3.0,0.0,87.09,87.09,87.05,0.0
3.0,1.0,90.21,90.21,89.94,0.0
3.0,2.0,98.92,98.92,98.92,0.0
3.0,3.0,100.0,100.0,100.0,0.0
4.0,0.0,90.39,90.39,90.31,0.0
4.0,1.0,62.27,62.27,55.73,0.0
4.0,2.0,97.94,97.94,97.94,0.0
4.0,3.0,94.41,94.41,94.4,0.0
4.0,4.0,99.85,99.85,99.85,0.0
