43.09,54.03,92.20,1,2->9->6->4->0->3->1->7->8->5,3097.643377
39.21,56.58,92.06,2,4->1->5->0->7->2->3->6->9->8,3094.764505
41.46,55.16,92.20,3,5->4->1->2->9->6->7->0->3->8,3245.302573
44.84,50.09,91.99,4,3->8->4->9->2->6->0->1->5->7,3366.833805
43.37,52.72,92.12,5,9->5->2->4->7->1->0->8->6->3,3204.625243
