stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,93.76,93.76,93.68,4.0
1.0,0.0,82.45,82.45,82.08,4.0
1.0,1.0,93.99,93.99,93.91,4.0
2.0,0.0,63.88,63.88,62.25,4.0
2.0,1.0,62.26,62.26,60.89,4.0
2.0,2.0,93.69,93.69,93.6,4.0
3.0,0.0,66.87,66.87,66.93,4.0
3.0,1.0,45.59,45.59,42.15,4.0
3.0,2.0,51.01,51.01,50.52,4.0
3.0,3.0,92.38,92.38,92.27,4.0
4.0,0.0,65.75,65.75,65.56,4.0
4.0,1.0,46.64,46.64,45.81,4.0
4.0,2.0,45.92,45.92,46.43,4.0
4.0,3.0,49.51,49.51,49.59,4.0
4.0,4.0,91.71,91.71,91.58,4.0
5.0,0.0,59.8,59.8,58.84,4.0
5.0,1.0,43.8,43.8,41.51,4.0
5.0,2.0,43.03,43.03,39.63,4.0
5.0,3.0,32.97,32.97,30.28,4.0
5.0,4.0,48.34,48.34,48.47,4.0
5.0,5.0,91.55,91.55,91.44,4.0
6.0,0.0,68.87,68.87,67.92,4.0
6.0,1.0,52.58,52.58,51.63,4.0
6.0,2.0,43.53,43.53,44.12,4.0
6.0,3.0,36.12,36.12,35.49,4.0
6.0,4.0,34.36,34.36,34.45,4.0
6.0,5.0,40.29,40.29,40.7,4.0
6.0,6.0,91.41,91.41,91.3,4.0
7.0,0.0,57.86,57.86,56.98,4.0
7.0,1.0,51.54,51.54,50.57,4.0
7.0,2.0,33.18,33.18,32.55,4.0
7.0,3.0,40.4,40.4,40.42,4.0
7.0,4.0,35.5,35.5,34.21,4.0
7.0,5.0,36.86,36.86,35.45,4.0
7.0,6.0,39.66,39.66,39.97,4.0
7.0,7.0,91.14,91.14,91.02,4.0
8.0,0.0,56.92,56.92,54.97,4.0
8.0,1.0,43.61,43.61,42.48,4.0
8.0,2.0,37.36,37.36,35.64,4.0
8.0,3.0,35.88,35.88,35.28,4.0
8.0,4.0,39.65,39.65,38.15,4.0
8.0,5.0,26.67,26.67,26.74,4.0
8.0,6.0,33.29,33.29,32.07,4.0
8.0,7.0,42.56,42.56,42.11,4.0
8.0,8.0,90.35,90.35,90.22,4.0
9.0,0.0,61.64,61.64,59.92,4.0
9.0,1.0,46.93,46.93,45.23,4.0
9.0,2.0,43.67,43.67,41.94,4.0
9.0,3.0,35.16,35.16,34.84,4.0
9.0,4.0,34.65,34.65,35.34,4.0
9.0,5.0,36.53,36.53,35.47,4.0
9.0,6.0,38.06,38.06,36.41,4.0
9.0,7.0,29.48,29.48,29.22,4.0
9.0,8.0,32.35,32.35,31.37,4.0
9.0,9.0,89.92,89.92,89.76,4.0
