stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,93.4,93.4,93.32,2.0
1.0,0.0,72.88,72.88,72.24,2.0
1.0,1.0,94.12,94.12,94.05,2.0
2.0,0.0,68.91,68.91,68.52,2.0
2.0,1.0,58.95,58.95,56.7,2.0
2.0,2.0,93.39,93.39,93.32,2.0
3.0,0.0,63.96,63.96,63.42,2.0
3.0,1.0,61.83,61.83,62.17,2.0
3.0,2.0,49.26,49.26,48.31,2.0
3.0,3.0,93.07,93.07,92.98,2.0
4.0,0.0,63.68,63.68,61.17,2.0
4.0,1.0,41.44,41.44,38.63,2.0
4.0,2.0,36.53,36.53,33.76,2.0
4.0,3.0,42.26,42.26,40.38,2.0
4.0,4.0,92.43,92.43,92.33,2.0
5.0,0.0,54.94,54.94,52.08,2.0
5.0,1.0,45.0,45.0,43.72,2.0
5.0,2.0,44.15,44.15,43.81,2.0
5.0,3.0,42.77,42.77,41.39,2.0
5.0,4.0,43.02,43.02,44.19,2.0
5.0,5.0,91.32,91.32,91.18,2.0
6.0,0.0,62.72,62.72,61.64,2.0
6.0,1.0,46.05,46.05,44.69,2.0
6.0,2.0,44.68,44.68,41.16,2.0
6.0,3.0,40.16,40.16,38.42,2.0
6.0,4.0,28.6,28.6,26.21,2.0
6.0,5.0,38.89,38.89,37.86,2.0
6.0,6.0,90.64,90.64,90.49,2.0
7.0,0.0,61.42,61.42,59.51,2.0
7.0,1.0,43.47,43.47,44.28,2.0
7.0,2.0,34.15,34.15,33.24,2.0
7.0,3.0,29.27,29.27,27.52,2.0
7.0,4.0,36.13,36.13,35.33,2.0
7.0,5.0,40.32,40.32,40.34,2.0
7.0,6.0,39.96,39.96,36.81,2.0
7.0,7.0,91.21,91.21,91.11,2.0
8.0,0.0,62.96,62.96,62.94,2.0
8.0,1.0,45.42,45.42,45.74,2.0
8.0,2.0,38.99,38.99,37.0,2.0
8.0,3.0,38.54,38.54,37.86,2.0
8.0,4.0,26.87,26.87,26.08,2.0
8.0,5.0,24.38,24.38,22.2,2.0
8.0,6.0,36.23,36.23,35.12,2.0
8.0,7.0,32.84,32.84,30.56,2.0
8.0,8.0,90.85,90.85,90.72,2.0
9.0,0.0,53.62,53.62,51.1,2.0
9.0,1.0,48.29,48.29,48.35,2.0
9.0,2.0,38.15,38.15,38.96,2.0
9.0,3.0,39.62,39.62,39.19,2.0
9.0,4.0,26.3,26.3,26.35,2.0
9.0,5.0,19.87,19.87,17.83,2.0
9.0,6.0,20.51,20.51,19.33,2.0
9.0,7.0,22.95,22.95,22.8,2.0
9.0,8.0,32.69,32.69,32.24,2.0
9.0,9.0,90.14,90.14,90.0,2.0
