stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,94.35,94.35,94.26,5.0
1.0,0.0,76.79,76.79,76.45,5.0
1.0,1.0,93.85,93.85,93.79,5.0
2.0,0.0,78.2,78.2,77.85,5.0
2.0,1.0,63.32,63.32,63.21,5.0
2.0,2.0,93.26,93.26,93.17,5.0
3.0,0.0,73.54,73.54,73.42,5.0
3.0,1.0,55.64,55.64,53.97,5.0
3.0,2.0,51.95,51.95,48.91,5.0
3.0,3.0,92.59,92.59,92.5,5.0
4.0,0.0,70.23,70.23,69.7,5.0
4.0,1.0,43.16,43.16,42.38,5.0
4.0,2.0,55.01,55.01,55.4,5.0
4.0,3.0,42.43,42.43,41.65,5.0
4.0,4.0,92.02,92.02,91.91,5.0
5.0,0.0,68.26,68.26,68.0,5.0
5.0,1.0,45.3,45.3,42.47,5.0
5.0,2.0,48.81,48.81,46.84,5.0
5.0,3.0,31.57,31.57,27.91,5.0
5.0,4.0,43.81,43.81,43.24,5.0
5.0,5.0,91.62,91.62,91.52,5.0
6.0,0.0,68.31,68.31,67.4,5.0
6.0,1.0,48.19,48.19,48.01,5.0
6.0,2.0,45.93,45.93,45.36,5.0
6.0,3.0,32.51,32.51,32.36,5.0
6.0,4.0,33.41,33.41,33.27,5.0
6.0,5.0,42.48,42.48,41.84,5.0
6.0,6.0,90.89,90.89,90.78,5.0
7.0,0.0,67.32,67.32,67.26,5.0
7.0,1.0,52.16,52.16,52.27,5.0
7.0,2.0,44.55,44.55,44.74,5.0
7.0,3.0,35.74,35.74,33.41,5.0
7.0,4.0,31.08,31.08,29.64,5.0
7.0,5.0,33.32,33.32,33.2,5.0
7.0,6.0,35.04,35.04,34.31,5.0
7.0,7.0,91.07,91.07,90.96,5.0
8.0,0.0,59.85,59.85,59.21,5.0
8.0,1.0,51.29,51.29,50.42,5.0
8.0,2.0,50.51,50.51,50.12,5.0
8.0,3.0,36.74,36.74,34.26,5.0
8.0,4.0,33.45,33.45,31.58,5.0
8.0,5.0,34.49,34.49,34.04,5.0
8.0,6.0,26.97,26.97,25.72,5.0
8.0,7.0,28.37,28.37,28.14,5.0
8.0,8.0,90.74,90.74,90.62,5.0
9.0,0.0,62.31,62.31,61.14,5.0
9.0,1.0,49.53,49.53,46.76,5.0
9.0,2.0,54.1,54.1,52.36,5.0
9.0,3.0,34.78,34.78,33.12,5.0
9.0,4.0,29.91,29.91,27.97,5.0
9.0,5.0,28.86,28.86,26.55,5.0
9.0,6.0,23.59,23.59,22.03,5.0
9.0,7.0,22.47,22.47,23.05,5.0
9.0,8.0,37.36,37.36,36.6,5.0
9.0,9.0,90.82,90.82,90.68,5.0
