stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,94.12,94.12,94.07,3.0
1.0,0.0,82.53,82.53,82.23,3.0
1.0,1.0,94.7,94.7,94.64,3.0
2.0,0.0,68.27,68.27,67.6,3.0
2.0,1.0,47.12,47.12,45.47,3.0
2.0,2.0,93.43,93.43,93.36,3.0
3.0,0.0,54.95,54.95,54.01,3.0
3.0,1.0,58.35,58.35,56.82,3.0
3.0,2.0,45.7,45.7,44.28,3.0
3.0,3.0,92.48,92.48,92.38,3.0
4.0,0.0,61.83,61.83,61.23,3.0
4.0,1.0,51.65,51.65,50.44,3.0
4.0,2.0,47.72,47.72,48.28,3.0
4.0,3.0,49.12,49.12,49.35,3.0
4.0,4.0,92.27,92.27,92.17,3.0
5.0,0.0,67.49,67.49,67.22,3.0
5.0,1.0,56.35,56.35,55.77,3.0
5.0,2.0,53.41,53.41,52.78,3.0
5.0,3.0,41.09,41.09,40.92,3.0
5.0,4.0,40.93,40.93,38.62,3.0
5.0,5.0,91.04,91.04,90.92,3.0
6.0,0.0,62.16,62.16,61.08,3.0
6.0,1.0,45.73,45.73,44.05,3.0
6.0,2.0,48.73,48.73,47.46,3.0
6.0,3.0,47.99,47.99,47.33,3.0
6.0,4.0,40.76,40.76,40.52,3.0
6.0,5.0,42.24,42.24,41.82,3.0
6.0,6.0,91.4,91.4,91.28,3.0
7.0,0.0,66.01,66.01,65.42,3.0
7.0,1.0,41.75,41.75,40.77,3.0
7.0,2.0,46.56,46.56,46.97,3.0
7.0,3.0,41.31,41.31,39.8,3.0
7.0,4.0,39.37,39.37,38.01,3.0
7.0,5.0,33.38,33.38,33.86,3.0
7.0,6.0,30.77,30.77,30.3,3.0
7.0,7.0,91.19,91.19,91.09,3.0
8.0,0.0,62.21,62.21,60.11,3.0
8.0,1.0,50.51,50.51,49.8,3.0
8.0,2.0,35.65,35.65,35.31,3.0
8.0,3.0,39.23,39.23,38.31,3.0
8.0,4.0,36.79,36.79,35.83,3.0
8.0,5.0,34.29,34.29,32.31,3.0
8.0,6.0,31.07,31.07,29.91,3.0
8.0,7.0,34.19,34.19,33.07,3.0
8.0,8.0,90.31,90.31,90.16,3.0
9.0,0.0,68.19,68.19,67.35,3.0
9.0,1.0,51.14,51.14,50.62,3.0
9.0,2.0,46.58,46.58,46.74,3.0
9.0,3.0,35.9,35.9,35.42,3.0
9.0,4.0,27.95,27.95,28.45,3.0
9.0,5.0,22.15,22.15,22.05,3.0
9.0,6.0,25.04,25.04,23.03,3.0
9.0,7.0,25.06,25.06,23.89,3.0
9.0,8.0,21.53,21.53,18.02,3.0
9.0,9.0,91.11,91.11,90.98,3.0
