stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,60.4,60.4,59.98,3.0
1.0,0.0,55.2,55.2,54.97,3.0
1.0,1.0,60.8,60.8,60.52,3.0
2.0,0.0,50.9,50.9,47.46,3.0
2.0,1.0,46.5,46.5,43.45,3.0
2.0,2.0,54.5,54.5,54.28,3.0
3.0,0.0,48.0,48.0,46.25,3.0
3.0,1.0,44.2,44.2,41.56,3.0
3.0,2.0,39.0,39.0,33.15,3.0
3.0,3.0,62.8,62.8,62.55,3.0
4.0,0.0,47.3,47.3,45.45,3.0
4.0,1.0,50.7,50.7,47.21,3.0
4.0,2.0,41.1,41.1,36.56,3.0
4.0,3.0,51.1,51.1,48.72,3.0
4.0,4.0,66.9,66.9,66.74,3.0
5.0,0.0,45.0,45.0,42.96,3.0
5.0,1.0,47.0,47.0,43.07,3.0
5.0,2.0,37.5,37.5,34.0,3.0
5.0,3.0,53.3,53.3,51.07,3.0
5.0,4.0,55.7,55.7,53.79,3.0
5.0,5.0,66.7,66.7,66.72,3.0
6.0,0.0,46.2,46.2,44.04,3.0
6.0,1.0,43.4,43.4,39.83,3.0
6.0,2.0,40.7,40.7,37.33,3.0
6.0,3.0,52.0,52.0,51.7,3.0
6.0,4.0,53.4,53.4,52.0,3.0
6.0,5.0,56.5,56.5,53.58,3.0
6.0,6.0,66.1,66.1,65.76,3.0
7.0,0.0,42.1,42.1,40.86,3.0
7.0,1.0,37.1,37.1,34.1,3.0
7.0,2.0,39.0,39.0,33.56,3.0
7.0,3.0,44.6,44.6,43.15,3.0
7.0,4.0,49.4,49.4,44.04,3.0
7.0,5.0,50.7,50.7,48.59,3.0
7.0,6.0,52.4,52.4,48.87,3.0
7.0,7.0,62.7,62.7,62.53,3.0
8.0,0.0,44.4,44.4,41.75,3.0
8.0,1.0,44.0,44.0,41.61,3.0
8.0,2.0,41.6,41.6,37.81,3.0
8.0,3.0,46.2,46.2,43.11,3.0
8.0,4.0,55.9,55.9,53.03,3.0
8.0,5.0,53.5,53.5,50.54,3.0
8.0,6.0,52.9,52.9,47.95,3.0
8.0,7.0,52.9,52.9,50.17,3.0
8.0,8.0,58.2,58.2,58.0,3.0
9.0,0.0,47.1,47.1,45.39,3.0
9.0,1.0,47.9,47.9,45.8,3.0
9.0,2.0,40.9,40.9,36.71,3.0
9.0,3.0,47.0,47.0,44.73,3.0
9.0,4.0,51.6,51.6,48.69,3.0
9.0,5.0,54.1,54.1,50.09,3.0
9.0,6.0,55.6,55.6,50.71,3.0
9.0,7.0,49.5,49.5,45.5,3.0
9.0,8.0,47.9,47.9,46.9,3.0
9.0,9.0,60.9,60.9,60.88,3.0
