stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,50.8,50.8,50.09,4.0
1.0,0.0,38.3,38.3,35.09,4.0
1.0,1.0,52.6,52.6,52.46,4.0
2.0,0.0,35.7,35.7,31.46,4.0
2.0,1.0,48.8,48.8,47.69,4.0
2.0,2.0,58.9,58.9,58.68,4.0
3.0,0.0,38.8,38.8,37.04,4.0
3.0,1.0,50.4,50.4,49.2,4.0
3.0,2.0,49.7,49.7,45.7,4.0
3.0,3.0,65.2,65.2,65.02,4.0
4.0,0.0,28.6,28.6,27.42,4.0
4.0,1.0,42.2,42.2,41.34,4.0
4.0,2.0,44.2,44.2,39.4,4.0
4.0,3.0,47.9,47.9,44.3,4.0
4.0,4.0,60.8,60.8,60.55,4.0
5.0,0.0,37.6,37.6,35.9,4.0
5.0,1.0,46.9,46.9,45.96,4.0
5.0,2.0,52.8,52.8,50.53,4.0
5.0,3.0,50.9,50.9,45.06,4.0
5.0,4.0,45.1,45.1,40.23,4.0
5.0,5.0,66.4,66.4,66.27,4.0
6.0,0.0,31.3,31.3,26.74,4.0
6.0,1.0,36.0,36.0,30.04,4.0
6.0,2.0,33.2,33.2,26.85,4.0
6.0,3.0,44.8,44.8,40.21,4.0
6.0,4.0,30.8,30.8,23.75,4.0
6.0,5.0,39.3,39.3,33.92,4.0
6.0,6.0,59.7,59.7,59.42,4.0
7.0,0.0,33.6,33.6,32.09,4.0
7.0,1.0,44.2,44.2,41.65,4.0
7.0,2.0,45.3,45.3,40.25,4.0
7.0,3.0,48.2,48.2,45.39,4.0
7.0,4.0,37.3,37.3,31.89,4.0
7.0,5.0,43.9,43.9,41.8,4.0
7.0,6.0,51.6,51.6,49.35,4.0
7.0,7.0,53.0,53.0,52.9,4.0
8.0,0.0,30.9,30.9,27.44,4.0
8.0,1.0,44.2,44.2,43.21,4.0
8.0,2.0,47.7,47.7,43.43,4.0
8.0,3.0,47.1,47.1,43.66,4.0
8.0,4.0,41.9,41.9,36.96,4.0
8.0,5.0,44.9,44.9,42.63,4.0
8.0,6.0,43.5,43.5,37.7,4.0
8.0,7.0,42.5,42.5,39.27,4.0
8.0,8.0,62.4,62.4,62.17,4.0
9.0,0.0,30.7,30.7,28.56,4.0
9.0,1.0,44.5,44.5,43.58,4.0
9.0,2.0,47.8,47.8,42.99,4.0
9.0,3.0,48.6,48.6,46.1,4.0
9.0,4.0,42.4,42.4,39.63,4.0
9.0,5.0,47.9,47.9,46.7,4.0
9.0,6.0,43.4,43.4,37.89,4.0
9.0,7.0,41.2,41.2,37.22,4.0
9.0,8.0,53.7,53.7,53.13,4.0
9.0,9.0,65.1,65.1,64.85,4.0
