stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,66.9,66.9,66.36,5.0
1.0,0.0,53.6,53.6,50.09,5.0
1.0,1.0,60.9,60.9,60.5,5.0
2.0,0.0,52.0,52.0,49.41,5.0
2.0,1.0,54.7,54.7,53.5,5.0
2.0,2.0,61.5,61.5,61.03,5.0
3.0,0.0,46.7,46.7,44.49,5.0
3.0,1.0,50.7,50.7,49.45,5.0
3.0,2.0,49.9,49.9,45.87,5.0
3.0,3.0,63.8,63.8,63.68,5.0
4.0,0.0,44.6,44.6,41.91,5.0
4.0,1.0,53.1,53.1,52.42,5.0
4.0,2.0,45.8,45.8,38.77,5.0
4.0,3.0,55.3,55.3,55.26,5.0
4.0,4.0,65.8,65.8,65.6,5.0
5.0,0.0,42.8,42.8,37.8,5.0
5.0,1.0,47.1,47.1,45.31,5.0
5.0,2.0,42.9,42.9,37.8,5.0
5.0,3.0,49.7,49.7,48.02,5.0
5.0,4.0,53.1,53.1,49.36,5.0
5.0,5.0,56.4,56.4,56.13,5.0
6.0,0.0,42.8,42.8,38.45,5.0
6.0,1.0,45.3,45.3,44.25,5.0
6.0,2.0,39.6,39.6,34.54,5.0
6.0,3.0,47.1,47.1,43.38,5.0
6.0,4.0,50.2,50.2,45.52,5.0
6.0,5.0,47.0,47.0,43.78,5.0
6.0,6.0,63.5,63.5,63.38,5.0
7.0,0.0,42.1,42.1,38.36,5.0
7.0,1.0,47.8,47.8,46.88,5.0
7.0,2.0,36.3,36.3,29.58,5.0
7.0,3.0,46.5,46.5,42.83,5.0
7.0,4.0,47.0,47.0,42.4,5.0
7.0,5.0,42.1,42.1,38.73,5.0
7.0,6.0,52.1,52.1,50.29,5.0
7.0,7.0,60.6,60.6,60.55,5.0
8.0,0.0,43.1,43.1,41.02,5.0
8.0,1.0,52.2,52.2,50.63,5.0
8.0,2.0,38.3,38.3,32.43,5.0
8.0,3.0,48.7,48.7,47.49,5.0
8.0,4.0,55.1,55.1,49.61,5.0
8.0,5.0,40.7,40.7,37.95,5.0
8.0,6.0,45.4,45.4,42.94,5.0
8.0,7.0,52.8,52.8,51.78,5.0
8.0,8.0,67.8,67.8,67.74,5.0
9.0,0.0,41.6,41.6,36.9,5.0
9.0,1.0,51.8,51.8,50.81,5.0
9.0,2.0,39.6,39.6,34.25,5.0
9.0,3.0,44.4,44.4,41.23,5.0
9.0,4.0,48.4,48.4,42.68,5.0
9.0,5.0,46.0,46.0,42.24,5.0
9.0,6.0,49.9,49.9,47.13,5.0
9.0,7.0,49.2,49.2,47.8,5.0
9.0,8.0,55.4,55.4,52.85,5.0
9.0,9.0,59.8,59.8,59.71,5.0
