stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,68.9,68.9,68.81,1.0
1.0,0.0,43.8,43.8,41.19,1.0
1.0,1.0,68.0,68.0,67.69,1.0
2.0,0.0,38.2,38.2,37.27,1.0
2.0,1.0,54.0,54.0,53.77,1.0
2.0,2.0,67.8,67.8,68.45,1.0
3.0,0.0,37.1,37.1,35.73,1.0
3.0,1.0,52.2,52.2,51.52,1.0
3.0,2.0,54.5,54.5,54.94,1.0
3.0,3.0,68.3,68.3,68.01,1.0
4.0,0.0,36.3,36.3,33.15,1.0
4.0,1.0,45.1,45.1,43.47,1.0
4.0,2.0,47.5,47.5,47.34,1.0
4.0,3.0,55.2,55.2,54.87,1.0
4.0,4.0,71.5,71.5,71.57,1.0
5.0,0.0,33.7,33.7,30.47,1.0
5.0,1.0,45.4,45.4,44.28,1.0
5.0,2.0,40.6,40.6,38.49,1.0
5.0,3.0,48.2,48.2,48.29,1.0
5.0,4.0,55.5,55.5,55.94,1.0
5.0,5.0,64.3,64.3,63.97,1.0
6.0,0.0,32.1,32.1,27.76,1.0
6.0,1.0,44.0,44.0,41.23,1.0
6.0,2.0,38.3,38.3,35.39,1.0
6.0,3.0,45.3,45.3,44.75,1.0
6.0,4.0,46.9,46.9,47.05,1.0
6.0,5.0,51.6,51.6,49.9,1.0
6.0,6.0,63.3,63.3,62.77,1.0
7.0,0.0,27.7,27.7,23.17,1.0
7.0,1.0,38.6,38.6,36.69,1.0
7.0,2.0,48.0,48.0,45.77,1.0
7.0,3.0,42.9,42.9,43.96,1.0
7.0,4.0,50.9,50.9,50.18,1.0
7.0,5.0,47.0,47.0,46.77,1.0
7.0,6.0,49.1,49.1,48.03,1.0
7.0,7.0,69.6,69.6,69.54,1.0
8.0,0.0,29.6,29.6,24.14,1.0
8.0,1.0,36.2,36.2,35.17,1.0
8.0,2.0,38.5,38.5,34.63,1.0
8.0,3.0,43.3,43.3,42.45,1.0
8.0,4.0,47.7,47.7,46.6,1.0
8.0,5.0,44.6,44.6,43.41,1.0
8.0,6.0,48.4,48.4,47.96,1.0
8.0,7.0,58.7,58.7,58.92,1.0
8.0,8.0,71.0,71.0,70.96,1.0
9.0,0.0,26.1,26.1,21.61,1.0
9.0,1.0,35.3,35.3,34.33,1.0
9.0,2.0,37.2,37.2,34.26,1.0
9.0,3.0,45.1,45.1,43.39,1.0
9.0,4.0,48.0,48.0,46.66,1.0
9.0,5.0,49.0,49.0,48.81,1.0
9.0,6.0,42.2,42.2,41.84,1.0
9.0,7.0,53.1,53.1,53.59,1.0
9.0,8.0,51.9,51.9,52.0,1.0
9.0,9.0,72.8,72.8,72.83,1.0
