stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,85.35,85.35,85.35,42.0
1.0,0.0,60.75,60.75,60.74,42.0
1.0,1.0,93.5,93.5,93.5,42.0
2.0,0.0,63.9,63.9,63.59,42.0
2.0,1.0,70.95,70.95,70.9,42.0
2.0,2.0,90.3,90.3,90.3,42.0
3.0,0.0,55.6,55.6,52.49,42.0
3.0,1.0,75.75,75.75,75.48,42.0
3.0,2.0,61.0,61.0,58.82,42.0
3.0,3.0,94.45,94.45,94.45,42.0
4.0,0.0,51.75,51.75,51.75,42.0
4.0,1.0,50.1,50.1,46.86,42.0
4.0,2.0,44.55,44.55,43.76,42.0
4.0,3.0,62.85,62.85,61.97,42.0
4.0,4.0,96.55,96.55,96.55,42.0
